Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-71606,India,Sea Pioneer,VY-7391,"Main Port, India","Casa Port, Morocco",Morocco,PROD-45706,"Frozen hams, shoulders and cuts thereof of swine, with bone in",4015011,340,PCS,466.06,INR
EXP-77256,France,Neptune Carrier,VY-1986,"Main Port, France","Casa Port, Morocco",Morocco,PROD-11896,"Frozen breasts and cuts thereof, of domestic geese, with bone in",2075551,129,TON,192.28,EUR
EXP-48942,Germany,Voyager Titan,VY-1492,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-51742,"08135099
                            


                        Mixtures of edible and dried nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit and grapes, containing plums or figs",80420,305,KG,244.27,EUR
EXP-55872,Netherlands,Voyager Titan,VY-9060,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-87029,Grain sorghum (excl. for sowing),3022980,466,KG,376.88,EUR
EXP-12085,United States,Sea Pioneer,VY-4110,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-23182,"Frozen shrimps of the genus Crangon, even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. ""Crangon crangon"")",3061794,463,TON,461.41,USD
EXP-93731,Spain,Global Trader,VY-6128,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-39608,Fresh raspberries,8102010,308,M3,263.87,EUR
EXP-53114,South Korea,Horizon Express,VY-7305,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-25207,"Flakes, granules and pellets of potatoes",20093199,310,TON,89.66,KRW
EXP-83117,Brazil,Voyager Titan,VY-7557,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-69757,"Frozen shortfin Mako shark ""Isurus Oxyrinchus""",3038150,327,LITRE,487.0,BRL
EXP-33334,France,Maritime Legend,VY-9616,"Main Port, France","Casa Port, Morocco",Morocco,PROD-80954,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)",3045200,137,TON,329.24,EUR
EXP-45827,China,Atlantic Voyager,VY-2388,"Main Port, China","Casa Port, Morocco",Morocco,PROD-95694,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)",104,255,TON,461.8,CNY
EXP-92114,India,Maritime Legend,VY-3656,"Main Port, India","Casa Port, Morocco",Morocco,PROD-71629,"Fresh or chilled fillets of coalfish ""Pollachius virens""",2072490,430,LITRE,388.8,INR
EXP-11443,India,Horizon Express,VY-4322,"Main Port, India","Casa Port, Morocco",Morocco,PROD-13088,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, value of <= 30 € per 100 kg, containing added sugar (excl. containing spirit, mixtures, lemon, orange and grapefruit juice)",20093191,438,KG,298.77,INR
EXP-30025,Belgium,Sea Pioneer,VY-9281,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-12985,"Frozen loins and cuts thereof of domestic swine, with bone in",2032913,434,PCS,128.45,EUR
EXP-70973,China,Sea Pioneer,VY-2604,"Main Port, China","Casa Port, Morocco",Morocco,PROD-73228,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae"" (excl. of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each)",3021180,335,TON,76.83,CNY
EXP-47547,Japan,Ocean Explorer,VY-9616,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-27575,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen (excl. cooked only and in the form of flour, meal or flakes)",20041099,259,PCS,391.21,JPY
EXP-77681,Italy,Global Trader,VY-2185,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-97527,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, coalfish and Boreogadus saida)",21021010,222,TON,288.68,EUR
EXP-94435,Netherlands,Global Trader,VY-4832,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-96857,"Frozen fish fillets, n.e.s.",30489,80,TON,223.83,EUR
EXP-88043,France,Neptune Carrier,VY-9060,"Main Port, France","Casa Port, Morocco",Morocco,PROD-56003,"Lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pâtés, soups or sauces",16053010,477,M3,23.78,EUR
EXP-45030,South Korea,Ocean Explorer,VY-6642,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-67238,Fresh or dried oranges,80510,362,LITRE,99.31,KRW
EXP-76636,India,Maritime Legend,VY-7305,"Main Port, India","Casa Port, Morocco",Morocco,PROD-86824,"Live, fresh, chilled, smoked, dried, salted or in brine, jellyfish ""Rhopilema spp.""",3083080,21,KG,43.5,INR
EXP-14527,Japan,Voyager Titan,VY-7280,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-91365,Fresh or chilled whole wings of domestic geese,2075431,429,TON,111.69,JPY
EXP-20577,Italy,Pacific Challenger,VY-1891,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-81232,"High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)",15149990,411,M3,492.62,EUR
EXP-22269,India,Horizon Express,VY-6052,"Main Port, India","Casa Port, Morocco",Morocco,PROD-62635,"Cheese, of a fat content by weight of <= 40% and a water content, by weight, of non-fatty matter of > 47% but <= 52%, n.e.s.",4069086,450,M3,327.18,INR
EXP-50546,Germany,Ocean Explorer,VY-2692,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-46753,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"" for industrial processing or preservation",3049921,168,KG,144.98,EUR
EXP-84727,Brazil,Ocean Explorer,VY-5900,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-49570,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens""",2075531,107,TON,498.28,BRL
EXP-13088,Japan,Blue Horizon,VY-6642,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-32834,"Apple juice, unfermented, Brix value <= 20 at 20°C (excl. containing added sugar or containing spirit)",12074010,301,M3,248.93,JPY
EXP-78306,Netherlands,Neptune Carrier,VY-4804,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-31386,Crude sesame oil (excl. for technical or industrial uses),15155019,206,PCS,181.91,EUR
EXP-79659,South Korea,Atlantic Voyager,VY-4990,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-99975,"Tallow of bovine animals, sheep or goats (excl. for technical/industrial uses, and oil and oleostearin)",15021090,329,TON,313.3,KRW
EXP-45900,Italy,Global Trader,VY-9281,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-56542,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of > 15% by weight and a fat content, by weight, of > 1,5% and <= 27%",4041014,214,KG,493.19,EUR
EXP-26052,Germany,Ocean Explorer,VY-9616,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-28429,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings of > 3 kg",713,115,M3,381.92,EUR
EXP-58051,South Korea,Sea Pioneer,VY-7430,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-49430,"Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals [see subheading note 2.]",2043000,125,M3,218.2,KRW
EXP-53731,United States,Voyager Titan,VY-1744,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-59536,"Groats and meal of maize, ""corn"", with a fat content, by weight, of <= 1,5%",603,183,TON,307.74,USD
EXP-80287,South Korea,Voyager Titan,VY-4695,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-52134,"Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals [see subheading note 2.]",17011310,296,KG,93.07,KRW
EXP-58146,China,Blue Horizon,VY-8837,"Main Port, China","Casa Port, Morocco",Morocco,PROD-19334,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets (excl. fresh whole sweet potatoes used for human consumption)",7142090,27,PCS,426.18,CNY
EXP-10815,Netherlands,Ocean Explorer,VY-5410,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-46788,"Meat or offal, incl. mixtures, of domestic swine, prepared or preserved, containing, by weight, >= 80% of meat or offal of any kind, incl. pork fat and fats of any kind or origin (excl. hams, shoulders, loins, collars and parts thereof, sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of livers and meat extracts)",16024919,274,KG,448.6,EUR
EXP-90283,Italy,Ocean Explorer,VY-6128,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-29085,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion",20745,450,PCS,244.68,EUR
EXP-71442,Russia,Global Trader,VY-2859,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-72263,Fresh whitecurrants and gooseberries,21069098,214,PCS,149.19,RUB
EXP-48770,United Kingdom,Blue Horizon,VY-4995,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-62981,"Fresh cut orchids and buds, of a kind suitable for bouquets or for ornamental purposes",3023390,338,M3,383.98,GBP
EXP-46482,Germany,Pacific Challenger,VY-6793,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-38825,Fresh or chilled skipjack or stripe-bellied bonito,30233,291,M3,458.24,EUR
EXP-10037,Japan,Voyager Titan,VY-9823,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-18586,"Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically modified (excl. crude)",151329,243,TON,21.45,JPY
EXP-42455,Netherlands,Global Trader,VY-5067,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-13025,"Milk and cream of a fat content by weight of <= 21% but > 10%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4015011,30,M3,30.52,EUR
EXP-71505,Italy,Pacific Challenger,VY-7305,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-39932,"Mussels ""Perna spp."", live, fresh or chilled, with or without shell",3073190,113,TON,361.74,EUR
EXP-88946,United Kingdom,Pacific Challenger,VY-7041,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-72051,Rolled or flaked grains of oats,110412,292,TON,492.23,GBP
EXP-48629,Germany,Pacific Challenger,VY-4695,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-63174,Round grain rice in husk,10061030,375,TON,350.8,EUR
EXP-81510,Canada,Pacific Challenger,VY-3656,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-74768,"Dried, prepared pasta (excl. stuffed)",7109000,269,KG,163.9,CAD
EXP-27756,Japan,Ocean Explorer,VY-6434,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-26254,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),1051119,3,TON,363.25,JPY
EXP-76005,United Kingdom,Maritime Legend,VY-6057,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-19261,Biscuits (excl. sweet biscuits),1059950,418,PCS,86.57,GBP
EXP-32773,Netherlands,Atlantic Voyager,VY-5767,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-20458,Pellets of oats,12092311,106,TON,229.28,EUR
EXP-87290,Germany,Pacific Challenger,VY-8706,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-39852,"Yogurt with added sugar or other sweetening matter (excl. flavoured or with added fruit, nuts, cocoa, chocolate, spices, coffee, plants, cereals or bakers' wares), of a fat content by weight > 6,0%",4032039,293,LITRE,131.05,EUR
EXP-27854,India,Atlantic Voyager,VY-1737,"Main Port, India","Casa Port, Morocco",Morocco,PROD-54554,"Peaches incl. nectarines, prepared or preserved, containing added spirit, with sugar content of > 13% and actual alcoholic strength of > 11,85% mas, in immediate packings of a net content > 1 kg",20087019,410,PCS,155.17,INR
EXP-24900,Turkey,Atlantic Voyager,VY-6157,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-26439,"Chocolate and chocolate products in the form of chocolates, whether or not filled, not containing alcohol",18069019,337,PCS,184.11,TRY
EXP-18087,Germany,Global Trader,VY-7485,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-96685,"Frozen fillets of toothfish ""Dissostichus spp.""",3048500,252,PCS,205.01,EUR
EXP-43927,Belgium,Maritime Legend,VY-4110,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-34797,"Mustard seeds, whether or not broken (excl. for sowing)",12075090,438,TON,247.62,EUR
EXP-35588,Brazil,Atlantic Voyager,VY-9646,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-33256,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in",21011,471,PCS,15.59,BRL
EXP-10065,Japan,Horizon Express,VY-4110,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-25291,"Germ of cereals, whole, rolled, flaked or ground",3044290,231,PCS,435.9,JPY
EXP-13034,Netherlands,Maritime Legend,VY-2781,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-16721,"Frozen fillets of haddock ""Melanogrammus aeglefinus""",3047200,100,M3,451.39,EUR
EXP-51179,United States,Voyager Titan,VY-4133,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-65610,Live swine,103,140,PCS,98.58,USD
EXP-93252,Canada,Maritime Legend,VY-2851,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-29194,"Spermaceti, whether or not refined or coloured",15219010,138,TON,183.54,CAD
EXP-66529,France,Global Trader,VY-8930,"Main Port, France","Casa Port, Morocco",Morocco,PROD-31036,"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter (excl. homogenised preparations of subheading 200710)",4041076,310,PCS,177.1,EUR
EXP-40905,Germany,Atlantic Voyager,VY-9646,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-20946,"Live domestic ducks, weighing <= 185 g",3045630,35,PCS,476.86,EUR
EXP-49496,Japan,Neptune Carrier,VY-2781,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-10996,"Mussels ""Perna spp."", frozen, even in shell",3073290,320,PCS,9.43,JPY
EXP-82089,Italy,Global Trader,VY-6243,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-46119,"Hydrogenated castor oil, so called ""opal wax""",15162010,491,KG,398.02,EUR
EXP-79421,Germany,Maritime Legend,VY-2851,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-90287,"Locust beans ""carob"", fresh, chilled, frozen or dried, whether or not ground",16055200,213,LITRE,58.08,EUR
EXP-65742,United States,Blue Horizon,VY-5389,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-56662,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of <= 15% by weight and a fat content, by weight, of > 1,5 and <= 27%",3074210,363,PCS,39.68,USD
EXP-60562,Japan,Neptune Carrier,VY-6531,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-20202,"Scallops, incl. queen scallops, prepared or preserved (excl. smoked)",16055200,167,TON,91.88,JPY
EXP-99079,France,Horizon Express,VY-2536,"Main Port, France","Casa Port, Morocco",Morocco,PROD-59101,"Single citrus fruit juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing <= 30% added sugar (excl. containing spirit, mixtures, lemon, orange and grapefruit juice)",1029020,332,KG,472.84,EUR
EXP-68883,France,Blue Horizon,VY-6565,"Main Port, France","Casa Port, Morocco",Morocco,PROD-45377,Fresh or chilled olives,70992,290,PCS,50.91,EUR
EXP-51071,Brazil,Neptune Carrier,VY-2932,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-49340,Matzos,19059010,484,PCS,261.57,BRL
EXP-70771,France,Horizon Express,VY-3202,"Main Port, France","Casa Port, Morocco",Morocco,PROD-40998,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets)",30456,213,LITRE,60.58,EUR
EXP-74229,Russia,Atlantic Voyager,VY-4322,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-78188,"Frozen shrimps of the genus ""Penaeus"", even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water",3061792,286,KG,322.27,RUB
EXP-39024,Netherlands,Voyager Titan,VY-5900,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-43054,Inactive yeasts; other dead single-cell micro-organisms (excl. packaged as medicaments),210220,230,KG,483.19,EUR
EXP-16059,Russia,Ocean Explorer,VY-3808,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-91332,"Protein concentrates and textured protein substances, not containing milkfats, sucrose, isoglucose starch or glucose or containing, by weight, < 1,5% milkfat, < 5% sucrose or isoglucose, < 5% glucose or < 5% starch",21061020,385,TON,64.77,RUB
EXP-34887,Canada,Voyager Titan,VY-6455,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-99016,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"" for industrial processing or preservation",9081200,244,M3,350.62,CAD
EXP-97628,Belgium,Voyager Titan,VY-7303,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-78927,"Pig fat, rendered or otherwise extracted, for industrial uses (excl. for the manufacture of foodstuffs, and lard)",8081010,204,PCS,262.83,EUR
EXP-94692,France,Ocean Explorer,VY-2630,"Main Port, France","Casa Port, Morocco",Morocco,PROD-60740,"Melons, incl. watermelons, and papaws ""papayas"", fresh",11042989,429,PCS,257.08,EUR
EXP-45310,Netherlands,Sea Pioneer,VY-2307,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-60710,"Live horses (excl. for slaughter, pure-bred for breeding)",1012990,338,LITRE,267.8,EUR
EXP-89275,France,Horizon Express,VY-4961,"Main Port, France","Casa Port, Morocco",Morocco,PROD-61058,"Fish livers, roes and milt, dried, smoked, salted or in brine",6022020,147,M3,215.92,EUR
EXP-61979,Japan,Ocean Explorer,VY-2185,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-46918,Dried apricots,8131000,240,M3,426.38,JPY
EXP-48267,United Kingdom,Maritime Legend,VY-3808,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-48601,"Whey and modified whey, whether or not concentrated, not containing added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"", by weight of > 15% and of a fat content, by weight, of > 27% (excl. in powder, granules or other solid forms)",4041062,187,PCS,292.21,GBP
EXP-38031,South Korea,Blue Horizon,VY-4804,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-72582,"Dried, shelled pigeon peas ""Cajanus cajan"", whether or not skinned or split",7136000,37,PCS,114.12,KRW
EXP-51175,Netherlands,Horizon Express,VY-2630,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-18546,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas),8052190,111,M3,342.87,EUR
EXP-11696,South Korea,Atlantic Voyager,VY-2932,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-81993,"Compressed tablets of sugar confectionery, whether or not manufactured with binding agents, not containing cocoa (excl. chewing gum, white chocolate, throat pastilles and cough drops, gum confectionery and jelly confectionery incl. fruit pastes in the form of sugar confectionery, boiled sweets, whether or not filled, pastes, incl. marzipan, in immediate packings of a net content of >= 1 kg)",17049081,137,TON,354.47,KRW
EXP-88706,Germany,Global Trader,VY-4804,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-24502,"Milk and cream of a fat content by weight of > 6% but <= 10%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4014010,488,TON,143.83,EUR
EXP-78881,Russia,Sea Pioneer,VY-5214,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-37801,"Fresh or dried macadamia nuts, shelled",8026200,44,M3,457.55,RUB
EXP-71176,South Korea,Horizon Express,VY-9281,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-31487,"Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals [see subheading note 2.]",17011310,232,M3,132.53,KRW
EXP-24341,India,Voyager Titan,VY-7280,"Main Port, India","Casa Port, Morocco",Morocco,PROD-42527,"Malt (excl. roasted, wheat and flour)",11071099,378,KG,77.9,INR
EXP-46339,Japan,Maritime Legend,VY-7374,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-29299,Round grain husked [brown] rice (excl. parboiled),10062092,151,TON,20.68,JPY
EXP-95519,Belgium,Ocean Explorer,VY-7041,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-96241,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets (excl. fresh whole sweet potatoes used for human consumption)",7142090,136,M3,268.15,EUR
EXP-95534,Japan,Global Trader,VY-2593,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-67326,"Plums, prepared or preserved, containing no spirit but with added sugar, in immediate packings of a net content of > 1 kg",20089945,141,KG,251.47,JPY
EXP-57805,Brazil,Atlantic Voyager,VY-2630,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-56401,"Meat of bovine animals, salted, in brine, dried or smoked",21020,450,LITRE,22.2,BRL
EXP-87440,Belgium,Neptune Carrier,VY-2692,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-19996,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",40410,184,LITRE,376.44,EUR
EXP-30115,United Kingdom,Atlantic Voyager,VY-7557,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-15130,Crude palm oil,151110,405,KG,438.66,GBP
EXP-76706,Germany,Blue Horizon,VY-4961,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-19640,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of > 15% by weight and a fat content, by weight, of > 1,5% and <= 27%",4041014,420,TON,308.4,EUR
EXP-92084,Russia,Ocean Explorer,VY-9823,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-17433,Sesamum seeds for sowing,12074010,213,LITRE,240.37,RUB
EXP-94266,United Kingdom,Atlantic Voyager,VY-6128,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-31165,"Rice, pre-cooked or otherwise prepared, n.e.s. (excl. flour, groats and meal, food preparations obtained by swelling or roasting or from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals)",19049010,310,PCS,469.1,GBP
EXP-26701,Russia,Sea Pioneer,VY-6793,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-83908,"Fresh or chilled redfish ""Sebastes spp."" (excl. Sebastes marinus)",3028939,86,KG,386.2,RUB
EXP-78198,Germany,Pacific Challenger,VY-2932,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-30132,Fresh pears (excl. perry pears in bulk from 1 August to 31 December),8083090,199,TON,491.92,EUR
EXP-92916,India,Voyager Titan,VY-9281,"Main Port, India","Casa Port, Morocco",Morocco,PROD-39488,Buckwheat,10081000,439,LITRE,178.73,INR
EXP-27687,China,Voyager Titan,VY-7083,"Main Port, China","Casa Port, Morocco",Morocco,PROD-92762,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)",12079920,356,M3,216.59,CNY
EXP-87629,Netherlands,Sea Pioneer,VY-7557,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-31006,Pure-bred cattle for breeding (excl. heifers and cows),1022190,323,LITRE,487.47,EUR
EXP-62990,United Kingdom,Ocean Explorer,VY-6044,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-90411,"Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)",2071370,92,KG,254.57,GBP
EXP-60430,Canada,Horizon Express,VY-8013,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-82731,"White sugar, containing in dry state>= 99,5% sucrose (excl. flavoured or coloured)",17019910,10,KG,84.81,CAD
EXP-72434,India,Sea Pioneer,VY-7280,"Main Port, India","Casa Port, Morocco",Morocco,PROD-83733,Triticale,401,80,LITRE,325.92,INR
EXP-90181,Netherlands,Horizon Express,VY-4181,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-26405,Fresh sweet oranges (excl. navel and white oranges),30191,105,LITRE,430.52,EUR
EXP-48075,Germany,Global Trader,VY-4832,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-85313,"Corned beef, in airtight containers",16025031,360,KG,163.44,EUR
EXP-76340,Germany,Global Trader,VY-5900,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-66499,"Frozen surimi of Alaska pollack ""Theragra chalcogramma""",3049410,122,M3,184.64,EUR
EXP-44459,United Kingdom,Voyager Titan,VY-5900,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-68234,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",2031219,382,PCS,81.51,GBP
EXP-87860,United States,Horizon Express,VY-8880,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-26704,"Frozen cuts of domestic ducks, with bone in, n.e.s.",1106,487,PCS,15.35,USD
EXP-51295,Japan,Voyager Titan,VY-1737,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-57057,"Animal fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, in immediate packings of <= 1 kg",15161010,345,PCS,414.74,JPY
EXP-59683,India,Atlantic Voyager,VY-6565,"Main Port, India","Casa Port, Morocco",Morocco,PROD-92563,"Sweet potatoes, fresh, whole, for human consumption",7142010,428,LITRE,359.47,INR
EXP-94065,Netherlands,Sea Pioneer,VY-6642,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-92189,"Fresh or chilled fillets of redfish ""Sebastes spp.""",20093991,163,TON,342.5,EUR
EXP-67381,Italy,Global Trader,VY-5410,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-76559,"Spices, crushed or ground (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, clove ""wholefruit"", clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries, ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and seeds of fenugreek, and mixtures of various types of spices)",9109999,167,TON,92.42,EUR
EXP-71425,India,Maritime Legend,VY-8706,"Main Port, India","Casa Port, Morocco",Morocco,PROD-53541,Preparations of blood of any animal (excl. sausages and similar products),16029010,338,TON,389.1,INR
EXP-92883,Belgium,Ocean Explorer,VY-9186,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-93100,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",3027900,48,M3,83.28,EUR
